tauTau TT
Pi  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_Pisa_2.root  Events
Ciemat  /eos/user/e/emartinv/cmt/Sync/test/TTTo2L2Nu_CIEMAT_tautau.root  Events
# Pi events = 52782, # Pi unique events = 52782
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 52101
Pi events
run:lumi:evt:sampleId = 1:98944:98943994
run:lumi:evt:sampleId = 1:99053:99052236
run:lumi:evt:sampleId = 1:99175:99174863
run:lumi:evt:sampleId = 1:99236:99235984
run:lumi:evt:sampleId = 1:99261:99260232
run:lumi:evt:sampleId = 1:99315:99314311
run:lumi:evt:sampleId = 1:99325:99324295
run:lumi:evt:sampleId = 1:99588:99587315
run:lumi:evt:sampleId = 1:99826:99825971
run:lumi:evt:sampleId = 1:99875:99874416
run:lumi:evt:sampleId = 1:100110:100109045
run:lumi:evt:sampleId = 1:100147:100146900
run:lumi:evt:sampleId = 1:100170:100169935
run:lumi:evt:sampleId = 1:100447:100446693
run:lumi:evt:sampleId = 1:100676:100675528
run:lumi:evt:sampleId = 1:101058:101057821
run:lumi:evt:sampleId = 1:101161:101160195
run:lumi:evt:sampleId = 1:101540:101539145
run:lumi:evt:sampleId = 1:101917:101916245
run:lumi:evt:sampleId = 1:102170:102169130
run:lumi:evt:sampleId = 1:102420:102419837
run:lumi:evt:sampleId = 1:102734:102733429
run:lumi:evt:sampleId = 1:102738:102737290
run:lumi:evt:sampleId = 1:102863:102862809
run:lumi:evt:sampleId = 1:102876:102875620
run:lumi:evt:sampleId = 1:103244:103243385
run:lumi:evt:sampleId = 1:103260:103259123
run:lumi:evt:sampleId = 1:103579:103578769
run:lumi:evt:sampleId = 1:104155:104154383
run:lumi:evt:sampleId = 1:104374:104373695
run:lumi:evt:sampleId = 1:104508:104507614
run:lumi:evt:sampleId = 1:104512:104511312
run:lumi:evt:sampleId = 1:105214:105213932
run:lumi:evt:sampleId = 1:105273:105272790
run:lumi:evt:sampleId = 1:105497:105496600
run:lumi:evt:sampleId = 1:105542:105541819
run:lumi:evt:sampleId = 1:105794:105793941
run:lumi:evt:sampleId = 1:106169:106168816
run:lumi:evt:sampleId = 1:106343:106342088
run:lumi:evt:sampleId = 1:106760:106759045
run:lumi:evt:sampleId = 1:107062:107061513
run:lumi:evt:sampleId = 1:107329:107328506
run:lumi:evt:sampleId = 1:107470:107469653
run:lumi:evt:sampleId = 1:107545:107544700
run:lumi:evt:sampleId = 1:107581:107580044
run:lumi:evt:sampleId = 1:107844:107843509
run:lumi:evt:sampleId = 1:107945:107944724
run:lumi:evt:sampleId = 1:107993:107992146
run:lumi:evt:sampleId = 1:108447:108446834
run:lumi:evt:sampleId = 1:108489:108488331
run:lumi:evt:sampleId = 1:108851:108850511
run:lumi:evt:sampleId = 1:108873:108872307
run:lumi:evt:sampleId = 1:109637:109636003
run:lumi:evt:sampleId = 1:109914:109913250
run:lumi:evt:sampleId = 1:109996:109995772
run:lumi:evt:sampleId = 1:110108:110107659
run:lumi:evt:sampleId = 1:110111:110110476
run:lumi:evt:sampleId = 1:110157:110156881
run:lumi:evt:sampleId = 1:110173:110172830
run:lumi:evt:sampleId = 1:110327:110326686
run:lumi:evt:sampleId = 1:110408:110407982
run:lumi:evt:sampleId = 1:110557:110556654
run:lumi:evt:sampleId = 1:110700:110699721
run:lumi:evt:sampleId = 1:111076:111075711
run:lumi:evt:sampleId = 1:111181:111180371
run:lumi:evt:sampleId = 1:111308:111307181
run:lumi:evt:sampleId = 1:111534:111533691
run:lumi:evt:sampleId = 1:111554:111553495
run:lumi:evt:sampleId = 1:111558:111557312
run:lumi:evt:sampleId = 1:111698:111697112
run:lumi:evt:sampleId = 1:112068:112067413
run:lumi:evt:sampleId = 1:112261:112260102
run:lumi:evt:sampleId = 1:112414:112413650
