tauTau TT
LLR  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_LLR.root  HTauTauTree
Ciemat  /eos/user/e/emartinv/cmt/Sync/TTTo2L2Nu_CIEMAT_tautau.root  Events
# LLR events = 48662, # LLR unique events = 48662
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 48307
LLR events
run:lumi:evt:sampleId = 1:130080:130079877
run:lumi:evt:sampleId = 1:130779:130778146
run:lumi:evt:sampleId = 1:132026:132025182
run:lumi:evt:sampleId = 1:132050:132049967
run:lumi:evt:sampleId = 1:132320:132319035
run:lumi:evt:sampleId = 1:132424:132423414
run:lumi:evt:sampleId = 1:132451:132450281
run:lumi:evt:sampleId = 1:134045:134044926
run:lumi:evt:sampleId = 1:134079:134078901
run:lumi:evt:sampleId = 1:135074:135073742
run:lumi:evt:sampleId = 1:135890:135889616
run:lumi:evt:sampleId = 1:136163:136162533
run:lumi:evt:sampleId = 1:136460:136459133
run:lumi:evt:sampleId = 1:136807:136806222
run:lumi:evt:sampleId = 1:137014:137013417
run:lumi:evt:sampleId = 1:138230:138229328
run:lumi:evt:sampleId = 1:138236:138235236
run:lumi:evt:sampleId = 1:138784:138783746
run:lumi:evt:sampleId = 1:139058:139057135
run:lumi:evt:sampleId = 1:139337:139336131
run:lumi:evt:sampleId = 1:141581:141580434
run:lumi:evt:sampleId = 1:141773:141772413
run:lumi:evt:sampleId = 1:142607:142606518
run:lumi:evt:sampleId = 1:142759:142758267
run:lumi:evt:sampleId = 1:143221:143220306
run:lumi:evt:sampleId = 1:143793:143792843
run:lumi:evt:sampleId = 1:143991:143990681
run:lumi:evt:sampleId = 1:144149:144148113
run:lumi:evt:sampleId = 1:144606:144605794
run:lumi:evt:sampleId = 1:144675:144674616
run:lumi:evt:sampleId = 1:145506:145505084
run:lumi:evt:sampleId = 1:145718:145717529
run:lumi:evt:sampleId = 1:145969:145968631
run:lumi:evt:sampleId = 1:146182:146181313
run:lumi:evt:sampleId = 1:146382:146381101
run:lumi:evt:sampleId = 1:146400:146399548
run:lumi:evt:sampleId = 1:146985:146984780
run:lumi:evt:sampleId = 1:147553:147552909
run:lumi:evt:sampleId = 1:147557:147556520
run:lumi:evt:sampleId = 1:147980:147979713
run:lumi:evt:sampleId = 1:148070:148069167
run:lumi:evt:sampleId = 1:149179:149178605
run:lumi:evt:sampleId = 1:149296:149295761
run:lumi:evt:sampleId = 1:149453:149452590
run:lumi:evt:sampleId = 1:149702:149701099
Ciemat events
run:lumi:evt:sampleId = 1:5:4181
run:lumi:evt:sampleId = 1:16:15891
run:lumi:evt:sampleId = 1:136:135068
run:lumi:evt:sampleId = 1:401:400087
run:lumi:evt:sampleId = 1:861:860889
run:lumi:evt:sampleId = 1:1291:1290572
run:lumi:evt:sampleId = 1:1449:1448125
run:lumi:evt:sampleId = 1:1519:1518982
run:lumi:evt:sampleId = 1:1706:1705899
run:lumi:evt:sampleId = 1:1836:1835446
run:lumi:evt:sampleId = 1:2050:2049800
run:lumi:evt:sampleId = 1:2083:2082497
run:lumi:evt:sampleId = 1:2211:2210585
run:lumi:evt:sampleId = 1:2223:2222399
run:lumi:evt:sampleId = 1:2889:2888556
run:lumi:evt:sampleId = 1:3005:3004391
run:lumi:evt:sampleId = 1:3364:3363746
run:lumi:evt:sampleId = 1:3365:3364727
run:lumi:evt:sampleId = 1:3366:3365023
run:lumi:evt:sampleId = 1:3366:3365405
run:lumi:evt:sampleId = 1:3377:3376108
run:lumi:evt:sampleId = 1:3427:3426166
run:lumi:evt:sampleId = 1:3525:3524816
run:lumi:evt:sampleId = 1:3583:3582650
run:lumi:evt:sampleId = 1:3863:3862171
run:lumi:evt:sampleId = 1:3865:3864312
run:lumi:evt:sampleId = 1:3885:3884995
run:lumi:evt:sampleId = 1:4085:4084072
run:lumi:evt:sampleId = 1:4103:4102331
run:lumi:evt:sampleId = 1:4109:4108797
run:lumi:evt:sampleId = 1:4210:4209579
run:lumi:evt:sampleId = 1:4252:4251099
run:lumi:evt:sampleId = 1:4353:4352981
run:lumi:evt:sampleId = 1:4387:4386723
run:lumi:evt:sampleId = 1:4419:4418004
run:lumi:evt:sampleId = 1:4501:4500801
run:lumi:evt:sampleId = 1:4502:4501330
run:lumi:evt:sampleId = 1:4522:4521073
run:lumi:evt:sampleId = 1:4524:4523438
run:lumi:evt:sampleId = 1:4550:4549837
run:lumi:evt:sampleId = 1:4551:4550403
run:lumi:evt:sampleId = 1:4618:4617833
run:lumi:evt:sampleId = 1:4700:4699135
run:lumi:evt:sampleId = 1:4700:4699154
run:lumi:evt:sampleId = 1:4916:4915013
run:lumi:evt:sampleId = 1:4966:4965534
run:lumi:evt:sampleId = 1:4996:4995550
run:lumi:evt:sampleId = 1:5105:5104988
run:lumi:evt:sampleId = 1:5269:5268988
run:lumi:evt:sampleId = 1:5312:5311584
run:lumi:evt:sampleId = 1:5393:5392836
run:lumi:evt:sampleId = 1:5453:5452842
run:lumi:evt:sampleId = 1:5515:5514767
run:lumi:evt:sampleId = 1:5532:5531253
run:lumi:evt:sampleId = 1:5612:5611096
run:lumi:evt:sampleId = 1:5749:5748797
